"ano","area","total"
2007,"Engenharia Biomédica","71133121"
2007,"Engenharia Cartografica","2662457"
2007,"Engenharia Civil","370478699"
2007,"Engenharia de Energia","22442242"
2007,"Engenharia de Materiais e Metalúrgica","522127329"
2007,"Engenharia de Minas","43868851"
2007,"Engenharia de Produção","133533001"
2007,"Engenharia de Transportes","83187983"
2007,"Engenharia Elétrica","515373547"
2007,"Engenharia Mecânica","402871026"
2007,"Engenharia Mecatrônica","3921458"
2007,"Engenharia Naval e Oceânica","75217237"
2007,"Engenharia Nuclear","70616779"
2007,"Engenharia Química","1281840517"
2007,"Engenharia Sanitária","576499433"
2007,"Estudos Sociais","7868071"
2007,"Farmácia","501450248"
2007,"Farmacologia","297296471"
2007,"Filosofia","45736249"
2007,"Física","659893851"
2007,"Fisiologia","191927257"
2007,"Fisioterapia e Terapia Ocupacional","30409329"
2007,"Fonoaudiologia","88747910"
2007,"Genética","612762396"
2007,"Geociências","629666222"
2007,"Geografia","71077516"
2007,"História","60466759"
2007,"Imunologia","265793944"
2007,"Letras","114049337"
2007,"Lingüística","96608817"
2007,"Matemática","209400216"
2007,"Medicina","602220678"
2007,"Medicina Veterinária","168384618"
2007,"Microbiologia","252894190"
2007,"Microeletrônica","1127104"
2007,"Morfologia","68677943"
2007,"Multidisciplinar","292314844"
2007,"Museologia","14441208"
2007,"Nutrição","12442757"
2007,"Oceanografia","164503197"
2007,"Odontologia","144120138"
2007,"Parasitologia","315631818"
2007,"Planejamento Urbano e Regional","66586980"
2007,"Probabilidade e Estatística","42968504"
2007,"Psicologia","157065011"
2007,"Química","808733144"
2007,"Recursos Florestais e Engenharia Florestal","241126780"
2007,"Recursos Pesqueiros e Engenharia de Pesca","209784412"
2007,"Relações Internacionais","106250"
2007,"Robótica, Mecatrônica e Automação","1500"
2007,"Saúde Coletiva","1160411386"
2007,"Serviço Social","36078636"
2007,"Sociologia","96820420"
2007,"Tecnologia e Inovação","31118566"
2007,"Teologia","606436"
2007,"Turismo","716757"
2007,"Zoologia","162290844"
2007,"Zootecnia","309481329"
2007,NULL,"203536588"
2008,"Administração","160996972"
2008,"Administração Hospitalar","27856"
2008,"Administração Rural","214347"
2008,"Agronomia","1791126415"
2008,"Antropologia","106549267"
2008,"Arqueologia","85493882"
2008,"Arquitetura e Urbanismo","76615560"
2008,"Artes","58368574"
2008,"Astronomia","162980498"
2008,"Bioética","11180"
2008,"Biofísica","126316783"
2008,"Biologia Geral","64882641"
2008,"Biomedicina","82339158"
2008,"Bioquímica","999764856"
2008,"Biotecnologia","57454571"
2008,"Botânica","418960841"
2008,"Ciência da Computação","862414565"
2008,"Ciência da Informação","22604749"
2008,"Ciência e Tecnologia de Alimentos","451369028"
2008,"Ciência Política","152254649"
2008,"Ciências","7394239"
2008,"Ciências Ambientais","154984915"
2008,"Ciências Sociais","1469546"
2008,"Comunicação","47185876"
2008,"Defesa","247400"
2008,"Demografia","14848303"
2008,"Desenho de Moda","41200"
2008,"Desenho de Projetos","3900"
2008,"Desenho Industrial","87635082"
2008,"Direito","36501331"
2008,"Divulgação Científica","67188444"
2008,"Ecologia","791799251"
2008,"Economia","227059764"
2008,"Economia Doméstica","797156"
2008,"Educação","315804443"
2008,"Educação Física","44513903"
2008,"Enfermagem","86922216"
2008,"Engenharia Aeroespacial","134488129"
2008,"Engenharia Agrícola","250585852"
2008,"Engenharia Biomédica","85541154"
2008,"Engenharia Cartografica","865203"
2008,"Engenharia Civil","205194242"
2008,"Engenharia de Energia","77354773"
2008,"Engenharia de Materiais e Metalúrgica","554729382"
2008,"Engenharia de Minas","23174889"
2008,"Engenharia de Produção","150714475"
2008,"Engenharia de Transportes","71909032"
2008,"Engenharia Elétrica","675970290"
2008,"Engenharia Mecânica","526067411"
2008,"Engenharia Mecatrônica","3916367"
2008,"Engenharia Naval e Oceânica","53472582"
2008,"Engenharia Nuclear","172137334"
2008,"Engenharia Química","514580074"
2008,"Engenharia Sanitária","512397821"
2008,"Engenharia Textil","4500"
2008,"Estudos Sociais","1691442"
2008,"Farmácia","1088345606"
2008,"Farmacologia","600005901"
2008,"Filosofia","70062077"
2008,"Física","1185687174"
2008,"Fisiologia","506721815"
2008,"Fisioterapia e Terapia Ocupacional","81255423"
2008,"Fonoaudiologia","13567963"
2008,"Genética","1985973076"
2008,"Geociências","900192249"
2008,"Geografia","114969374"
2008,"História","114100120"
2008,"Historia Natural","179500"
2008,"Imunologia","168447159"
2008,"Letras","114942884"
2008,"Lingüística","103313120"
2008,"Matemática","297155624"
2008,"Medicina","1177523527"
2008,"Medicina Veterinária","474066553"
2008,"Microbiologia","498513242"
2008,"Microeletrônica","91164197"
2008,"Morfologia","114245341"
2008,"Multidisciplinar","385661013"
2008,"Museologia","6224543"
2008,"Nutrição","131507433"
2008,"Oceanografia","310061546"
2008,"Odontologia","190839445"
2008,"Parasitologia","325046380"
2008,"Planejamento Urbano e Regional","60139426"
2008,"Probabilidade e Estatística","37732456"
2008,"Psicologia","170301702"
2008,"Química","1432592797"
2008,"Química Industrial","57220"
2008,"Recursos Florestais e Engenharia Florestal","202085304"
2008,"Recursos Pesqueiros e Engenharia de Pesca","321217055"
2008,"Relações Internacionais","205712"
2008,"Robótica, Mecatrônica e Automação","24900"
2008,"Saúde Coletiva","607974416"
2008,"Serviço Social","46563241"
2008,"Sociologia","103513100"
2008,"Tecnologia e Inovação","73706536"
2008,"Teologia","3580423"
2008,"Turismo","14255975"
2008,"Zoologia","315177146"
2008,"Zootecnia","421345992"
2008,NULL,"334573464"
2009,"Administração","208862521"
2009,"Administração Hospitalar","16006"
2009,"Administração Rural","845300"
2009,"Agronomia","3073888707"
2009,"Antropologia","221272560"
2009,"Arqueologia","156474598"
2009,"Arquitetura e Urbanismo","90809837"
2009,"Artes","72466316"
2009,"Astronomia","171022594"
2009,"Bioética","23712"
2009,"Biofísica","81672747"
2009,"Biologia Geral","122742044"
2009,"Biomedicina","31340821"
2009,"Bioquímica","1143411942"
2009,"Biotecnologia","35468561"
2009,"Botânica","350817693"
2009,"Ciência da Computação","738513938"
2009,"Ciência da Informação","42599893"
2009,"Ciência e Tecnologia de Alimentos","1147590923"
2009,"Ciência Política","229014726"
2009,"Ciências","4994597"
2009,"Ciências Ambientais","144669902"
2009,"Ciências Atuarias","1500"
2009,"Ciências Sociais","7083414"
2009,"Complexo da Defesa","1200"
2009,"Comunicação","75353154"
2009,"Defesa","5553506"
2009,"Demografia","9329137"
2009,"Desenho de Moda","57700"
2009,"Desenho de Projetos","6300"
2009,"Desenho Industrial","67123543"
2009,"Direito","31908330"
2009,"Divulgação Científica","65258838"
2009,"Ecologia","415939368"
2009,"Economia","203994609"
2009,"Economia Doméstica","11182866"
2009,"Educação","330760747"
2009,"Educação Física","42390208"
2009,"Enfermagem","91374234"
2009,"Engenharia Aeroespacial","273346977"
2009,"Engenharia Agrícola","351672634"
2009,"Engenharia Biomédica","99113122"
2009,"Engenharia Cartografica","13200"
2009,"Engenharia Civil","284889948"
2009,"Engenharia de Armamentos","1500"
2009,"Engenharia de Energia","69167226"
2009,"Engenharia de Materiais e Metalúrgica","526124472"
2009,"Engenharia de Minas","44635025"
2009,"Engenharia de Produção","136706322"
2009,"Engenharia de Transportes","61798727"
