id,value
Santa Maria (RS),37706
Santa Margarida do Sul (RS),0
Santana da Boa Vista (RS),0
Sant'Ana do Livramento (RS),0
Santa Rosa (RS),0
Santa Tereza (RS),0
Santa Vitória do Palmar (RS),5
Santiago (RS),0
Santo Ângelo (RS),2590
Santo Antônio do Palma (RS),0
Santo Antônio das Missões (RS),0
Santo Antônio do Planalto (RS),0
Santo Augusto (RS),0
Santo Cristo (RS),0
Santo Expedito do Sul (RS),0
São Borja (RS),0
São Domingos do Sul (RS),0
São Francisco de Assis (RS),0
São Gabriel (RS),0
São Jerônimo (RS),0
São João da Urtiga (RS),0
São João do Polêsine (RS),0
São Jorge (RS),0
São José das Missões (RS),0
São José do Herval (RS),0
São José do Inhacorá (RS),0
São José do Ouro (RS),0
São José do Sul (RS),0
São Lourenço do Sul (RS),1
São Luiz Gonzaga (RS),0
São Martinho (RS),0
São Martinho da Serra (RS),0
São Miguel das Missões (RS),0
São Nicolau (RS),0
São Paulo das Missões (RS),0
São Pedro da Serra (RS),0
São Pedro das Missões (RS),0
São Pedro do Butiá (RS),0
São Pedro do Sul (RS),0
São Sepé (RS),0
São Valentim (RS),0
São Valentim do Sul (RS),0
São Valério do Sul (RS),0
São Vicente do Sul (RS),0
Sarandi (RS),0
Seberi (RS),0
Sede Nova (RS),0
Segredo (RS),0
Selbach (RS),0
Senador Salgado Filho (RS),0
Sentinela do Sul (RS),0
Serafina Corrêa (RS),0
Sério (RS),0
Sertão (RS),0
Sertão Santana (RS),0
Sete de Setembro (RS),0
Severiano de Almeida (RS),0
Silveira Martins (RS),0
Sinimbu (RS),0
Sobradinho (RS),0
Soledade (RS),8
Tabaí (RS),0
Tapejara (RS),0
Tapera (RS),0
Taquari (RS),0
Taquaruçu do Sul (RS),0
Tenente Portela (RS),0
Teutônia (RS),0
Tio Hugo (RS),0
Tiradentes do Sul (RS),0
Toropi (RS),0
Travesseiro (RS),0
Três Arroios (RS),0
Três de Maio (RS),2
Três Palmeiras (RS),0
Três Passos (RS),0
Trindade do Sul (RS),0
Tucunduva (RS),0
Tunas (RS),0
Tupanci do Sul (RS),0
Tupanciretã (RS),0
Tuparendi (RS),0
Turuçu (RS),0
Ubiretama (RS),0
União da Serra (RS),0
Unistalda (RS),0
Uruguaiana (RS),24
Vale Verde (RS),0
Vale do Sol (RS),0
Vanini (RS),0
Venâncio Aires (RS),0
Vera Cruz (RS),0
Veranópolis (RS),0
Vespasiano Corrêa (RS),0
Viadutos (RS),0
Vicente Dutra (RS),0
Victor Graeff (RS),0
Vila Flores (RS),0
Vila Lângaro (RS),0
Vila Maria (RS),0
Vila Nova do Sul (RS),0
Vista Alegre (RS),0
Vista Alegre do Prata (RS),0
Vista Gaúcha (RS),0
Vitória das Missões (RS),0
Westfália (RS),0
Água Clara (MS),0
Alcinópolis (MS),0
Amambai (MS),0
Anastácio (MS),0
Anaurilândia (MS),0
Angélica (MS),0
Antônio João (MS),0
Aquidauana (MS),38
Aral Moreira (MS),0
Bandeirantes (MS),0
Bataguassu (MS),0
Batayporã (MS),0
Bela Vista (MS),0
Bodoquena (MS),0
Bonito (MS),0
Brasilândia (MS),0
Caarapó (MS),0
Camapuã (MS),0
Campo Grande (MS),23991
Caracol (MS),0
Cassilândia (MS),0
Chapadão do Sul (MS),0
Corguinho (MS),0
Coronel Sapucaia (MS),0
Corumbá (MS),208
Costa Rica (MS),2
Coxim (MS),0
Deodápolis (MS),0
Dois Irmãos do Buriti (MS),0
Douradina (MS),0
Dourados (MS),12668
Eldorado (MS),0
Fátima do Sul (MS),0
Figueirão (MS),0
Glória de Dourados (MS),0
Guia Lopes da Laguna (MS),0
Iguatemi (MS),0
Inocência (MS),0
Itaporã (MS),3
Itaquiraí (MS),0
Ivinhema (MS),0
Japorã (MS),0
Jaraguari (MS),0
Jardim (MS),0
Jateí (MS),0
Juti (MS),0
Ladário (MS),0
Laguna Carapã (MS),0
Maracaju (MS),0
Miranda (MS),0
Mundo Novo (MS),0
Naviraí (MS),2
Nioaque (MS),0
Nova Alvorada do Sul (MS),0
Nova Andradina (MS),0
Novo Horizonte do Sul (MS),0
Paraíso das Águas (MS),0
Paranhos (MS),0
Pedro Gomes (MS),0
Ponta Porã (MS),0
Porto Murtinho (MS),0
Ribas do Rio Pardo (MS),0
Rio Brilhante (MS),0
Rio Negro (MS),0
Rio Verde de Mato Grosso (MS),7
Rochedo (MS),0
Santa Rita do Pardo (MS),0
São Gabriel do Oeste (MS),4
Sete Quedas (MS),0
Sidrolândia (MS),0
Sonora (MS),0
Tacuru (MS),0
Taquarussu (MS),0
Terenos (MS),26
Três Lagoas (MS),29
Vicentina (MS),0
Acorizal (MT),0
Alto Araguaia (MT),0
Alto Garças (MT),0
Alto Paraguai (MT),0
Alto Taquari (MT),0
Araguainha (MT),0
Araputanga (MT),0
Arenápolis (MT),0
Barão de Melgaço (MT),0
Barra do Bugres (MT),0
Barra do Garças (MT),0
Cáceres (MT),2865
Campo Verde (MT),0
Chapada dos Guimarães (MT),0
Conquista D'Oeste (MT),0
Cuiabá (MT),18991
Curvelândia (MT),0
Denise (MT),0
Dom Aquino (MT),0
Figueirópolis D'Oeste (MT),0
General Carneiro (MT),0
Glória D'Oeste (MT),0
Guiratinga (MT),0
Indiavaí (MT),0
Itiquira (MT),0
Jaciara (MT),0
Jangada (MT),0
Jauru (MT),0
Juscimeira (MT),0
Lambari D'Oeste (MT),0
Mirassol d'Oeste (MT),0
Nossa Senhora do Livramento (MT),0
Nova Brasilândia (MT),0
Nova Olímpia (MT),0
Novo São Joaquim (MT),0
Pedra Preta (MT),0
Planalto da Serra (MT),0
Poconé (MT),0
Pontal do Araguaia (MT),14
Ponte Branca (MT),0
Pontes e Lacerda (MT),0
Porto Esperidião (MT),0
Porto Estrela (MT),0
Poxoréu (MT),0
Primavera do Leste (MT),12
São José dos Quatro Marcos (MT),0
Reserva do Cabaçal (MT),0
Ribeirãozinho (MT),0
Rio Branco (MT),0
Santo Afonso (MT),0
São José do Povo (MT),0
São Pedro da Cipa (MT),0
Rondonópolis (MT),224
Salto do Céu (MT),0
Santo Antônio do Leste (MT),0
Santo Antônio do Leverger (MT),0
Tesouro (MT),0
Torixoréu (MT),0
Vale de São Domingos (MT),0
Várzea Grande (MT),17
Aporé (GO),0
Aragarças (GO),0
Baliza (GO),0
Bom Jardim de Goiás (GO),0
Chapadão do Céu (GO),0
Doverlândia (GO),0
Mineiros (GO),0
Perolândia (GO),0
Piranhas (GO),0
Portelândia (GO),0
Santa Rita do Araguaia (GO),0
Serranópolis (GO),0
Alcobaça (BA),0
