palavra,freq
desinformação,36
livre,36
publicas,36
interdisciplinar,36
compreensão,36
2030,36
multidisciplinaridade,36
anti,36
direita,36
geográfico,36
zika,36
técnicas,36
atuação,36
burocracia,36
prisões,36
evangélicos,36
arqueometria,36
prata,36
conteúdo,36
secundário,36
trajetória,36
regime,36
ecológica,36
vocação,35
energética,35
treinamento,35
desigual,35
corporais,35
xvii,35
territorialização,35
pragmatismo,35
realidade,35
imaginação,35
tarefas,35
campesinato,35
distância,35
paleontologia,34
cuidados,34
unesco,34
moradia,34
legislativo,34
judicial,34
coloniais,34
habilitadoras,34
transporte,34
razão,34
angola,34
temperamento,34
validação,34
curadoria,34
velhice,34
estigma,34
animais,34
modelagem,34
esporte,34
hegemonia,34
musical,34
guarani,34
bebês,34
patrocínio,34
históricas,34
executivas,34
literário,34
emergentes,34
itinerário,34
comportamentos,34
amazônica,33
europeia,33
sociabilidades,33
feminista,33
parto,33
lazer,33
publicações,33
parental,33
modelo,33
sala,33
populares,33
descartes,33
locais,33
hegel,33
língua,33
índios,33
sensação,33
luto,33
probic,33
competência,33
parcerias,33
rondônia,33
participativa,33
ciclo,32
ministério,32
adoções,32
tipologias,32
transferência,32
implementação,32
longa,32
temporalidade,32
computacional,32
pedagógicos,32
revolução,32
imaginário,32
digitalização,32
normas,32
tardias,32
dominação,32
liderança,32
central,32
tocantins,32
ifba,32
evidência,32
estratégicas,32
vínculos,32
empoderamento,32
plano,32
estágio,32
educativo,31
campos,31
ibero,31
gravuras,31
abordagens,31
federalismo,31
maternidade,31
missões,31
metacognição,31
associações,31
paisagens,31
socioemocionais,31
baseada,31
universal,31
pentecostalismo,31
comparado,31
alzheimer,31
adoção,31
transições,31
doméstica,31
morais,31
antigo,31
segregação,31
discursos,31
testes,31
diferenças,31
coletivos,30
comparados,30
socioespaciais,30
sexismo,30
americana,30
geração,30
habermas,30
privado,30
perfil,30
ifms,30
saude,30
formativo,30
brasileiros,30
conjugal,30
ufrr,30
moderno,30
leibniz,30
investigativo,30
materialidades,30
queer,30
quântica,30
aids,30
conceitos,30
artesanal,30
luta,30
performance,29
familiares,29
residência,29
sujeito,29
paradigma,29
passado,29
concessão,29
permanente,29
transcultural,29
crença,29
psicopatologia,29
paraguai,29
resolução,29
psicológico,29
bncc,29
oeste,29
antropológica,29
tradicional,29
wittgenstein,29
confronto,29
situação,29
logística,29
curriculo,29
socioemocional,29
genealogia,29
primeira,29
humor,29
crises,29
cosmopolitismo,29
trans,29
antirracismo,29
sensibilidades,29
francisco,29
plural,28
maternidades,28
holocênico,28
multimodalidade,28
gramsci,28
quaternário,28
discursiva,28
pleistocênico,28
repressão,28
polícias,28
impressos,28
cartas,28
criação,28
contato,28
estratificação,28
argumentação,28
cobertura,28
dinâmica,28
fundiária,28
disciplina,28
vale,28
acadêmicos,28
reconstituição,28
paleoparasitologia,28
paleoambiental,28
séculos,28
interseccionalidades,27
pernambuco,27
ritual,27
ativas,27
umbanda,27
santa,27
arendt,27
ifsertãope,27
literária,27
demorcacia,27
temas,27
negacionismo,27
resposta,27
sexuais,27
conceituais,27
ator,27
gerações,27
armada,27
diversidades,27
reflexiva,27
bioeconomia,27
caribe,27
suicídio,27
terapêutica,27
paraconsistência,27
reino,27
centralidade,26
epistêmicas,26
experimentação,26
viagem,26
costeira,26
belo,26
serviço,26
práxis,26
heidegger,26
etnogtrafia,26
facções,26
polícia,26
cognitivas,26
prisionais,26
laicidade,26
infâncias,26
belém,26
congresso,26
romano,26
interações,26
sono,26
science,26
paulista,26
francesa,26
máquina,26
diagnóstico,26
caso,26
línguas,26
ocupações,26
ufpe,26
litoral,26
naturalismo,26
corpos,26
inovaçãotecnológica,26
confiança,26
mercantilização,26
alunospit,26
virtudes,26
enfermagem,26
matopiba,26
artefatos,26
méxico,25
psiquiatria,25
criminalização,25
sociocientíficas,25
superdotação,25
paraná,25
robôs,25
mobilização,25
crítico,25
inovadoras,25
regionais,25
reabilitação,25
remoto,25
ficção,25
competitividade,25
categorias,25
