"grande_area","modalidade","linha_de_fomento","valor"
"Outra","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","1117561165"
"Ciências Exatas e da Terra","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1114660000"
"Ciências Biológicas","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","1102659917"
"Lingüística, Letras e Artes","GM - Mestrado","Bolsas de Mestrado","1088233650"
"Ciências da Saúde","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","1065640967"
"Ciências Humanas","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1060400444"
"Ciências Agrárias","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","1057423701"
"Ciências Humanas","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","1044343955"
"Ciências Sociais Aplicadas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","1031272000"
"Engenharias","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","1013749351"
"Ciências Exatas e da Terra","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","1013408824"
"Ciências da Saúde","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","1001857788"
"Ciências Sociais Aplicadas","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","999379058"
"Ciências da Saúde","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","957365492"
"Outra","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","956872920"
"Ciências Sociais Aplicadas","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","944724775"
"Engenharias","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","938426601"
"Ciências Exatas e da Terra","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","935079618"
"Engenharias","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","930552286"
