palavra,freq
xviii,11
manuscritos,11
especializada,11
egressos,11
guimarães,11
gótico,11
nominal,11
alemã,11
educacional,11
realidades,11
ódio,11
primeira,11
semana,11
estágio,11
continuada,11
dinâmica,11
fortalecimento,11
generativa,11
cerebrais,11
pedagógicos,11
domínio,11
negro,11
neto,11
melo,11
caso,11
conversa,11
cabral,11
atitude,11
fantástico,11
publicação,11
esquecimento,11
inter,11
ensinar,11
variáveis,11
america,11
ausência,11
ideologias,11
algoritmo,11
enunciados,11
revistas,11
transformação,11
migrantes,11
covid,11
socio,11
indecoroso,11
sons,11
artístico,11
leitora,11
infantojuvenil,11
lírica,11
transtornos,11
lins,11
síntese,11
etnografia,11
alzheimer,11
customização,11
colônia,10
modelo,10
francês,10
xvii,10
loucura,10
ufsb,10
autoficção,10
oliveira,10
expertise,10
artísticas,10
input,10
coisas,10
catarinense,10
culta,10
juvenil,10
lima,10
arcaica,10
tratamento,10
desempenho,10
constitucionalismo,10
perspectivismo,10
fronteira,10
relatos,10
laurence,10
imanência,10
neologismo,10
políticos,10
lgbtqa,10
brasileitra,10
ortográficos,10
sterne,10
personagem,10
relativas,10
narratologia,10
sérgio,10
vanguarda,10
performativo,10
oportunidade,10
sonoridades,10
medio,10
autismo,10
sociabilidade,10
poiesis,10
auto,10
temporalidades,10
dispositivo,10
gabinete,10
interartes,10
erros,10
atos,10
sintagma,10
descolonização,10
shakespeare,10
fônica,10
teatralidade,10
guarani,10
corpos,10
joaquim,10
leitores,10
conhecimentos,10
distribuída,10
função,9
justiça,9
modo,9
ocular,9
lobo,9
conectividade,9
adultos,9
camões,9
antunes,9
classes,9
sílabas,9
memoria,9
experimentais,9
dependências,9
contemporâneas,9
imersão,9
jacques,9
proust,9
pretônicas,9
revista,9
retrato,9
polarização,9
antigo,9
transversalidade,9
nomes,9
histórico,9
leitor,9
interesse,9
conceitos,9
policial,9
tecnociência,9
erotismo,9
orais,9
antropoceno,9
socioeconômico,9
indexicalização,9
repetição,9
jardins,9
informacional,9
distopia,9
museológicos,9
tupí,9
metalexicografia,9
boris,9
espanhola,9
democratização,9
viagens,9
escravidão,9
slam,9
performatividades,9
colocação,9
prazer,9
modalização,9
expansão,9
informal,9
deficiência,9
documental,9
lúdico,9
masculinidade,9
ilusionismo,9
metamorfose,9
dignidade,9
inct,9
instalação,9
caleidoscópio,9
