"grande_area","area","subarea","valor"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Silvicultura","4087932914"
"Ciências Humanas","Ciência Política","Comportamento Político","4069465691"
"Ciências Biológicas","Zoologia","Morfologia dos Grupos Recentes","4053328102"
"Ciências da Saúde","Fisioterapia e Terapia Ocupacional","Fisioterapia e Terapia Ocupacional","4046069185"
"Ciências Biológicas","Microbiologia","Não informado","4018178830"
"Engenharias","Engenharia de Energia","Planejamento Energético","4002518467"
"Engenharias","Engenharia Civil","Engenharia Hidráulica","3993823186"
"Ciências Agrárias","Agronomia","Fitopatologia","3956229764"
"Ciências da Saúde","Farmácia","Farmacotécnica e tecnologia farmacêutica","3947990142"
"Ciências Biológicas","Biofísica","Biofísica de Processos e Sistemas","3920287081"
"Ciências Sociais Aplicadas","Comunicação","Rádio e Televisão","3915021833"
"Ciências da Saúde","Nutrição","Desnutrição e Desenvolvimento Fisiológico","3906598444"
"Ciências da Saúde","Medicina","Doenças Infecciosas e Parasitárias","3902587387"
"Engenharias","Engenharia Aeroespacial","Materiais e Processos para Engenharia Aeronáutica e Aeroespacial","3900416895"
"Ciências Exatas e da Terra","Matemática","Álgebra","3895798456"
"Ciências da Saúde","Farmácia","Análise e Controle e Medicamentos","3878796870"
"Ciências Biológicas","Ecologia","Ecologia Teórica","3875301460"
"Engenharias","Engenharia Civil","Infra-Estrutura de Transportes","3837473462"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Estatística","3836436922"
"Ciências Humanas","História","História Antiga e Medieval","3824353154"
"Ciências Sociais Aplicadas","Museologia","Não informado","3808796421"
"Ciências da Saúde","Medicina","Cirurgia","3663713167"
"Ciências da Saúde","Enfermagem","Enfermagem Fundamental","3657388349"
"Ciências Biológicas","Farmacologia","Farmacologia Clínica","3645620415"
"Engenharias","Engenharia Civil","Processos Construtivos","3644638933"
"Ciências Agrárias","Agronomia","Melhoramento Vegetal","3635415115"
"Ciências Exatas e da Terra","Oceanografia","Oceanografia Química","3613323565"
"Ciências Biológicas","Fisiologia","Fisiologia Geral","3529770157"
"Ciências da Saúde","Fonoaudiologia","Não informado","3476713814"
"Ciências Humanas","Sociologia","Sociologia do Desenvolvimento","3462548981"
"Ciências Biológicas","Zoologia","Paleozoologia","3461634653"
"Ciências Sociais Aplicadas","Comunicação","Relações Públicas e Propaganda","3422961312"
"Ciências da Saúde","Farmácia","Garantia e controle de qualidade farmacêuticos","3384906633"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Probabilidade e Estatística Aplicadas","3347413208"
"Outra","Biotecnologia","Biotecnologia","3347068884"
"Ciências Agrárias","Engenharia Agrícola","Construções Rurais e Ambiência","3322191253"
"Ciências Sociais Aplicadas","Ciência da Informação","Teoria da Informação","3227941963"
"Ciências Humanas","Psicologia","Psicologia do Trabalho e Organizacional","3225330205"
"Ciências Sociais Aplicadas","Comunicação","Comunicação Visual","3200360914"
"Ciências Humanas","Filosofia","Epistemologia","3170596614"
"Engenharias","Engenharia Aeroespacial","Sistemas Aeroespaciais","3170140570"
"Ciências Biológicas","Zoologia","Comportamento Animal","3150405993"
"Ciências Humanas","Sociologia","Sociologia Rural","3136147597"
"Ciências Biológicas","Bioquímica","Bioquímica dos Microorganismos","3109731707"
"Ciências da Saúde","Medicina","Neurologia","3062785071"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Recursos Pesqueiros de Águas Interiores","3026422916"
"Outra","Multidisciplinar","Multidisciplinar","3014004541"
"Ciências Agrárias","Agronomia","Agronomia","3010997506"
"Ciências Humanas","Geografia","Geografia Regional","2999471634"
"Ciências Humanas","Filosofia","Metafísica","2982624418"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Manejo Florestal","2979039899"
"Engenharias","Engenharia de Materiais e Metalúrgica","Polímeros, Aplicações","2954894403"
"Lingüística, Letras e Artes","Letras","Literatura Brasileira","2945713591"
"Ciências da Saúde","Farmácia","Análise Toxicológica","2941159437"
"Ciências Humanas","Sociologia","Fundamentos da Sociologia","2933384202"
"Ciências Humanas","Filosofia","Ética","2929085606"
"Ciências Biológicas","Botânica","Morfologia Vegetal","2903772710"
"Engenharias","Engenharia de Minas","Tratamento de Minérios","2895752533"
